DIRCON,NOMBRE_OPERADOR,OPERADOR,DANE DEPARTAMENTO,DEPARTAMENTO,DANE MUNICIPIO,MUNICIPIO,DANE CENTRO POBLADO,CENTRO POBLADO,ESTADO,COORDENADAS DE REFERENCIA LATITUD,COORDENADAS DE REFERENCIA LONGITUD,INICIO DE OPERACIÓN,FECHA FIN OPERACIÓN,FECHACORTE,VIGENCIA],N° USUARIOS ACTIVOS MES,TRAFICO MENSUAL (GB),VELOCIDAD SUBIDA (Mb),VELOCIDAD BAJADA (Mb),INVERSIÓN
72287,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68855,VALLE DE SAN JOSE,68855000,SAN ISIDRO,EN OPERACI�N,"6,45194000","-73,10806000",2020-08-07,1900-01-01,2020-10-31,2020-12-31,164,"207,07",1,9,"27007800,00"
71672,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68320,GUADALUPE,68320000,VEREDA MARARAY,EN OPERACI�N,"6,22639000","-73,35583000",2020-01-23,2021-10-22,2020-10-31,2020-12-31,30,"38,03",1,9,"27007800,00"
71721,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68684,SAN JOSE DE MIRANDA,68684000,VEREDA ANCHICUTA,EN OPERACI�N,"6,63806000","-72,71361000",2019-12-05,2021-09-04,2020-10-31,2020-12-31,116,"170,59",1,9,"27007800,00"
72283,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68522,PALMAR,68522000,PALO GORDO,POR INSTALAR,"6,50583333","-73,29166667",1900-01-01,1900-01-01,2020-07-31,2020-12-31,0,",00",1024,9216,"27007797,00"
71725,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68689,SAN VICENTE DE CHUCURI,68689000,GUAYACAN EL LITORAL,EN OPERACI�N,"6,93639000","-73,41417000",2019-12-07,2021-09-06,2020-07-31,2020-12-31,114,"144,60",1024,9216,"27007797,00"
72293,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68861,VELEZ,68861000,VEREDA LA DOCTRINA,EN OPERACI�N,"5,95500000","-73,66638889",2020-08-11,1900-01-01,2020-10-31,2020-12-31,272,"92,13",1,9,"27007800,00"
71639,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68079,BARICHARA,68079000,BUTAREGUA,EN OPERACI�N,"6,67611000","-73,20972000",2019-12-16,2021-09-15,2020-10-31,2020-12-31,134,"60,55",1,9,"27007800,00"
71696,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68464,MOGOTES,68464000,VEREDA EL HOYO,EN OPERACI�N,"6,58139000","-72,90806000",2019-12-15,2021-09-14,2020-10-31,2020-12-31,655,"126,04",1,9,"27007800,00"
72289,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68855,VALLE DE SAN JOSE,68855000,SAN ISIDRO,POR INSTALAR,"6,45194000","-73,10806000",1900-01-01,1900-01-01,2020-07-31,2020-12-31,0,",00",1024,9216,"27007797,00"
71682,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68418,LOS SANTOS,68418000,VEREDA EL REGADERO,EN OPERACI�N,"6,76111000","-73,09000000",2019-12-14,2021-09-13,2020-07-31,2020-12-31,111,"99,16",1024,9216,"27007797,00"
71704,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68575,PUERTO WILCHES,68575007,EL PEDRAL,EN OPERACI�N,"7,32472000","-73,77389000",2019-12-06,2021-09-05,2020-07-31,2020-12-31,1230,"336,20",1024,9216,"27007797,00"
72286,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68770,SUAITA,68770003,VADO REAL,POR INSTALAR,"6,07000000","-73,41222222",1900-01-01,1900-01-01,2020-07-31,2020-12-31,0,",00",1024,9216,"27007797,00"
71656,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68235,EL CARMEN DE CHUCURI,68235000,EL VERGEL,EN OPERACI�N,"6,66611000","-73,48083000",2019-12-05,2021-09-04,2020-10-31,2020-12-31,525,"187,45",1,9,"27007800,00"
